Datetime,Water Level (m)
2024-03-30 12:00:00,0.02162623
2024-03-30 13:00:00,0.25123066
2024-03-30 14:00:00,0.37398928
2024-03-30 15:00:00,0.4233777
2024-03-30 16:00:00,0.44032043
2024-03-30 17:00:00,0.37451544
2024-03-30 18:00:00,0.24762331
2024-03-30 19:00:00,0.12202863
2024-03-30 20:00:00,0.071609095
2024-03-30 21:00:00,0.03923659
2024-03-30 22:00:00,0.0051131286
2024-03-30 23:00:00,-0.029271066
2024-03-31 00:00:00,-0.02376129
2024-03-31 01:00:00,0.15242352
2024-03-31 02:00:00,0.33402917
2024-03-31 03:00:00,0.43255895
2024-03-31 04:00:00,0.42842034
2024-03-31 05:00:00,0.344096
2024-03-31 06:00:00,0.17346387
2024-03-31 07:00:00,0.06799373
2024-03-31 08:00:00,0.03679775
2024-03-31 09:00:00,0.011469011
2024-03-31 10:00:00,-0.020395031
2024-03-31 11:00:00,-0.04993375
2024-03-31 12:00:00,-0.02886199
2024-03-31 13:00:00,0.15860264
2024-03-31 14:00:00,0.35029876
2024-03-31 15:00:00,0.46678233
2024-03-31 16:00:00,0.5126408
2024-03-31 17:00:00,0.519619
2024-03-31 18:00:00,0.44473
2024-03-31 19:00:00,0.30419293
2024-03-31 20:00:00,0.18702908
2024-03-31 21:00:00,0.1385956
2024-03-31 22:00:00,0.10372577
2024-03-31 23:00:00,0.07065205
2024-04-01 00:00:00,0.04328889
2024-04-01 01:00:00,0.07815127
2024-04-01 02:00:00,0.21636301
2024-04-01 03:00:00,0.37437603
2024-04-01 04:00:00,0.45634258
2024-04-01 05:00:00,0.4488754
2024-04-01 06:00:00,0.36256635
2024-04-01 07:00:00,0.21726574
2024-04-01 08:00:00,0.127628
2024-04-01 09:00:00,0.08749694
2024-04-01 10:00:00,0.0598938
2024-04-01 11:00:00,0.031947345
2024-04-01 12:00:00,0.010258081
2024-04-01 13:00:00,0.073682256
2024-04-01 14:00:00,0.2640143
2024-04-01 15:00:00,0.42186338
2024-04-01 16:00:00,0.51023746
2024-04-01 17:00:00,0.5524264
2024-04-01 18:00:00,0.5576276
2024-04-01 19:00:00,0.4927487
2024-04-01 20:00:00,0.36804444
2024-04-01 21:00:00,0.25348336
2024-04-01 22:00:00,0.20048995
2024-04-01 23:00:00,0.16170178
2024-04-02 00:00:00,0.12536652
2024-04-02 01:00:00,0.0900887
2024-04-02 02:00:00,0.07690791
2024-04-02 03:00:00,0.15179391
2024-04-02 04:00:00,0.3023212
2024-04-02 05:00:00,0.41319856
2024-04-02 06:00:00,0.42941028
2024-04-02 07:00:00,0.3703786
2024-04-02 08:00:00,0.25250322
2024-04-02 09:00:00,0.15836684
2024-04-02 10:00:00,0.110888645
2024-04-02 11:00:00,0.07998581
2024-04-02 12:00:00,0.052054193
2024-04-02 13:00:00,0.038641557
2024-04-02 14:00:00,0.11021137
2024-04-02 15:00:00,0.27055195
2024-04-02 16:00:00,0.41563928
2024-04-02 17:00:00,0.500916
2024-04-02 18:00:00,0.5482412
2024-04-02 19:00:00,0.5669789
2024-04-02 20:00:00,0.53008807
2024-04-02 21:00:00,0.42985952
2024-04-02 22:00:00,0.31023684
2024-04-02 23:00:00,0.244647
2024-04-03 00:00:00,0.20266567
2024-04-03 01:00:00,0.16252764
2024-04-03 02:00:00,0.12012605
2024-04-03 03:00:00,0.077484176
2024-04-03 04:00:00,0.06337385
2024-04-03 05:00:00,0.14508636
2024-04-03 06:00:00,0.3099477
2024-04-03 07:00:00,0.4183821
2024-04-03 08:00:00,0.42559862
2024-04-03 09:00:00,0.35503364
2024-04-03 10:00:00,0.23758484
2024-04-03 11:00:00,0.14720197
2024-04-03 12:00:00,0.09829106
2024-04-03 13:00:00,0.06569315
2024-04-03 14:00:00,0.04167275
2024-04-03 15:00:00,0.035750452
2024-04-03 16:00:00,0.11297834
2024-04-03 17:00:00,0.27681088
2024-04-03 18:00:00,0.42980343
2024-04-03 19:00:00,0.5196261
2024-04-03 20:00:00,0.560956
2024-04-03 21:00:00,0.5640311
2024-04-03 22:00:00,0.4996069
2024-04-03 23:00:00,0.36998567
2024-04-04 00:00:00,0.25841725
2024-04-04 01:00:00,0.20692156
2024-04-04 02:00:00,0.16725281
2024-04-04 03:00:00,0.12596788
2024-04-04 04:00:00,0.08305065
2024-04-04 05:00:00,0.049080763
2024-04-04 06:00:00,0.097111024
2024-04-04 07:00:00,0.27145046
2024-04-04 08:00:00,0.43347386
2024-04-04 09:00:00,0.5014268
2024-04-04 10:00:00,0.48713583
2024-04-04 11:00:00,0.4022921
2024-04-04 12:00:00,0.24789478
2024-04-04 13:00:00,0.15120514
2024-04-04 14:00:00,0.11122866
2024-04-04 15:00:00,0.078655094
2024-04-04 16:00:00,0.054680042
2024-04-04 17:00:00,0.07040816
2024-04-04 18:00:00,0.2263411
2024-04-04 19:00:00,0.41711468
2024-04-04 20:00:00,0.55214244
2024-04-04 21:00:00,0.60897154
2024-04-04 22:00:00,0.62969154
2024-04-04 23:00:00,0.5840408
2024-04-05 00:00:00,0.45304582
2024-04-05 01:00:00,0.31577137
2024-04-05 02:00:00,0.24855317
2024-04-05 03:00:00,0.20795174
2024-04-05 04:00:00,0.16690204
2024-04-05 05:00:00,0.1237841
2024-04-05 06:00:00,0.0916842
2024-04-05 07:00:00,0.1943147
2024-04-05 08:00:00,0.4129866
2024-04-05 09:00:00,0.56497276
2024-04-05 10:00:00,0.6191733
2024-04-05 11:00:00,0.6138131
2024-04-05 12:00:00,0.5224339
